time,gpu,total,is_running,n_atoms,tps
0,11.98,123.25821685791016,False,,
1,11.98,142.47238159179688,False,,
2,11.93,144.85215759277344,False,,
3,11.75,129.99716186523438,False,,
4,11.75,129.37094116210938,False,,
5,11.91,146.9188995361328,False,,
6,11.78,147.28465270996094,False,,
7,11.9,136.791259765625,False,,
8,12.01,133.9698028564453,False,,
9,11.9,140.6236114501953,False,,
10,11.89,137.68780517578125,False,,
11,11.71,133.81170654296875,False,,
12,11.58,130.80563354492188,False,,
13,11.77,141.72900390625,True,512,
14,59.41,211.16184997558594,True,512,
15,85.26,246.98411560058594,True,512,
16,99.77,250.07049560546875,True,512,
17,99.89,250.0570831298828,True,512,
18,99.78,254.97265625,True,512,
19,99.89,259.22930908203125,True,512,
20,99.83,248.13128662109375,True,512,
21,99.89,256.7488098144531,True,512,
22,99.84,262.6121520996094,True,512,
23,99.9,241.6375274658203,True,512,
24,100.01,253.52603149414062,True,512,
25,99.85,255.6361083984375,True,512,
26,99.86,261.6004943847656,True,512,
27,100.04,260.22821044921875,True,512,
28,100.27,261.9453125,True,512,
29,100.46,254.7947540283203,True,512,
30,100.03,263.1149597167969,True,512,
31,100.2,262.16827392578125,True,512,
32,100.17,244.99977111816406,True,512,
33,100.07,252.96507263183594,True,512,
34,100.14,251.7304229736328,True,512,
35,100.18,248.56350708007812,True,512,
36,100.46,250.48622131347656,True,512,
37,100.46,255.82203674316406,True,512,
38,100.8,244.82627868652344,True,512,
39,100.73,255.7220916748047,True,512,
40,100.48,253.173095703125,True,512,
41,100.43,257.6939392089844,True,512,
42,100.63,252.31800842285156,True,512,
43,100.28,259.8584899902344,True,512,
44,100.37,255.61312866210938,True,512,
45,100.48,249.55471801757812,True,512,
46,100.69,182.8107147216797,False,512,84399.30933682197
47,64.93,175.455810546875,False,512,84399.30933682197
48,59.1,169.6979522705078,False,512,84399.30933682197
49,56.47,180.86656188964844,False,512,84399.30933682197
50,54.06,183.79531860351562,False,512,84399.30933682197
51,54.16,163.6439971923828,False,512,84399.30933682197
52,54.16,175.29446411132812,False,512,84399.30933682197
53,54.19,190.5921630859375,False,512,84399.30933682197
54,54.21,186.3407440185547,False,512,84399.30933682197
55,54.29,160.7722930908203,False,512,84399.30933682197
56,54.32,173.29647827148438,False,512,84399.30933682197
57,54.26,186.46949768066406,False,512,84399.30933682197
58,54.13,200.41529846191406,True,1024,84399.30933682197
59,91.06,268.12896728515625,True,1024,84399.30933682197
60,124.89,267.1213684082031,True,1024,84399.30933682197
61,124.98,256.8039855957031,True,1024,84399.30933682197
62,124.73,258.6686706542969,True,1024,84399.30933682197
63,125.2,289.01611328125,True,1024,84399.30933682197
64,125.13,264.273193359375,True,1024,84399.30933682197
65,124.71,265.47308349609375,True,1024,84399.30933682197
66,124.82,286.2483215332031,True,1024,84399.30933682197
67,125.49,272.9515075683594,True,1024,84399.30933682197
68,125.26,273.6525573730469,True,1024,84399.30933682197
69,126.38,237.3582305908203,True,1024,84399.30933682197
70,126.11,278.5531921386719,True,1024,84399.30933682197
71,126.11,278.763427734375,True,1024,84399.30933682197
72,126.31,280.78662109375,True,1024,84399.30933682197
73,126.15,272.26312255859375,True,1024,84399.30933682197
74,126.2,275.2891845703125,True,1024,84399.30933682197
75,126.43,271.2743225097656,True,1024,84399.30933682197
76,126.44,266.9678649902344,True,1024,84399.30933682197
77,126.05,273.34844970703125,True,1024,84399.30933682197
78,126.11,278.2384033203125,True,1024,84399.30933682197
79,93.36,175.3286590576172,False,1024,67073.01978353839
80,70.21,189.5709991455078,False,1024,67073.01978353839
81,61.08,186.60374450683594,False,1024,67073.01978353839
82,58.1,188.4626922607422,False,1024,67073.01978353839
83,55.03,175.2630615234375,False,1024,67073.01978353839
84,54.94,173.99917602539062,False,1024,67073.01978353839
85,54.87,184.51022338867188,False,1024,67073.01978353839
86,54.78,194.7245635986328,False,1024,67073.01978353839
87,54.64,175.32667541503906,False,1024,67073.01978353839
88,54.62,175.90858459472656,False,1024,67073.01978353839
89,54.66,174.5497589111328,False,1024,67073.01978353839
90,54.88,157.2790985107422,False,1024,67073.01978353839
91,54.77,199.45530700683594,True,2048,67073.01978353839
92,80.89,291.685302734375,True,2048,67073.01978353839
93,152.53,297.8974304199219,True,2048,67073.01978353839
94,153.21,304.0126647949219,True,2048,67073.01978353839
95,153.71,305.4964599609375,True,2048,67073.01978353839
96,153.88,315.4812316894531,True,2048,67073.01978353839
97,155.19,301.7839660644531,True,2048,67073.01978353839
98,156.31,315.2919921875,True,2048,67073.01978353839
99,156.46,315.59722900390625,True,2048,67073.01978353839
100,156.51,308.7355041503906,True,2048,67073.01978353839
101,156.57,301.4677429199219,True,2048,67073.01978353839
102,156.62,309.32958984375,True,2048,67073.01978353839
103,155.8,317.1104736328125,True,2048,67073.01978353839
104,155.16,296.9869079589844,True,2048,67073.01978353839
105,155.55,286.80303955078125,True,2048,67073.01978353839
106,155.53,290.20843505859375,True,2048,67073.01978353839
107,154.88,306.9947814941406,True,2048,67073.01978353839
108,154.54,319.2483825683594,True,2048,67073.01978353839
109,155.2,305.262939453125,True,2048,67073.01978353839
110,155.25,292.2784729003906,True,2048,67073.01978353839
111,155.73,310.0169982910156,True,2048,67073.01978353839
112,155.38,313.6589050292969,True,2048,67073.01978353839
113,155.76,301.51470947265625,True,2048,67073.01978353839
114,156.01,174.8916015625,False,2048,48222.380182195695
115,75.93,174.43112182617188,False,2048,48222.380182195695
116,60.31,170.1387939453125,False,2048,48222.380182195695
117,57.2,193.96006774902344,False,2048,48222.380182195695
118,54.17,179.37210083007812,False,2048,48222.380182195695
119,54.11,169.2845916748047,False,2048,48222.380182195695
120,54.11,169.17013549804688,False,2048,48222.380182195695
121,54.15,188.79039001464844,False,2048,48222.380182195695
122,54.56,159.62599182128906,False,2048,48222.380182195695
123,55.15,159.01132202148438,False,2048,48222.380182195695
124,55.14,181.5120849609375,False,2048,48222.380182195695
125,55.17,184.2852020263672,False,2048,48222.380182195695
126,55.52,305.9383544921875,True,4096,48222.380182195695
127,140.98,322.39263916015625,True,4096,48222.380182195695
128,176.21,319.4504699707031,True,4096,48222.380182195695
129,176.17,332.03271484375,True,4096,48222.380182195695
130,176.05,320.2024230957031,True,4096,48222.380182195695
131,176.56,311.1039733886719,True,4096,48222.380182195695
132,176.73,315.150390625,True,4096,48222.380182195695
133,176.8,333.4143371582031,True,4096,48222.380182195695
134,177.31,331.7499084472656,True,4096,48222.380182195695
135,176.94,317.1707458496094,True,4096,48222.380182195695
136,176.71,324.05377197265625,True,4096,48222.380182195695
137,176.58,319.49652099609375,True,4096,48222.380182195695
138,176.12,329.40399169921875,True,4096,48222.380182195695
139,176.33,324.3255920410156,True,4096,48222.380182195695
140,176.64,319.1005859375,True,4096,48222.380182195695
141,177.19,328.7504577636719,True,4096,48222.380182195695
142,177.3,322.1382141113281,True,4096,48222.380182195695
143,177.66,337.5132141113281,True,4096,48222.380182195695
144,177.56,334.1918029785156,True,4096,48222.380182195695
145,177.82,333.0290832519531,True,4096,48222.380182195695
146,177.9,347.17681884765625,True,4096,48222.380182195695
