System Size,Average Power (W),Duration (s)
512,238.95956521739126,22
1024,251.29,14
2048,279.3552941176471,16
4096,312.55052631578945,18
8192,291.44619047619045,20
16384,290.2670588235294,16
32768,344.8755555555556,17
65536,379.8872222222222,17
131072,373.09260869565213,22
262144,400.37199999999996,19
524288,428.21750000000003,19
1048576,440.3924999999999,19
2097152,427.67590909090904,21
4194304,431.62454545454545,21
8388608,411.10249999999996,23
