time,gpu,total,is_running,n_atoms,tps
0,11.62,141.74147033691406,False,,
1,11.63,128.76455688476562,False,,
2,11.85,145.8291778564453,False,,
3,11.94,154.21282958984375,False,,
4,11.94,118.35269927978516,False,,
5,11.82,132.54742431640625,False,,
6,11.62,124.167236328125,False,,
7,11.4,143.25160217285156,False,,
8,11.3,148.81149291992188,False,,
9,11.47,131.33038330078125,False,,
10,11.69,128.07374572753906,False,,
11,11.77,148.01698303222656,False,,
12,12.16,132.548583984375,False,,
13,12.33,207.4007110595703,True,512,
14,62.48,245.85398864746094,True,512,
15,74.65,245.61868286132812,True,512,
16,101.47,252.6331787109375,True,512,
17,102.21,260.1424560546875,True,512,
18,103.1,251.26170349121094,True,512,
19,102.84,246.27455139160156,True,512,
20,102.45,257.5308837890625,True,512,
21,102.87,254.11883544921875,True,512,
22,102.32,259.4027404785156,True,512,
23,102.47,256.9546813964844,True,512,
24,102.21,250.75889587402344,True,512,
25,103.25,250.337890625,True,512,
26,104.03,251.1557159423828,True,512,
27,103.64,267.6222839355469,True,512,
28,102.87,269.5299377441406,True,512,
29,102.75,256.966064453125,True,512,
30,102.3,257.9787292480469,True,512,
31,102.57,265.9003601074219,True,512,
32,103.69,275.60650634765625,True,512,
33,103.83,256.3790283203125,True,512,
34,103.73,262.315185546875,True,512,
35,102.9,260.6937255859375,True,512,
36,103.2,222.01780700683594,True,512,
37,102.93,259.32122802734375,True,512,
38,102.69,265.606689453125,True,512,
39,103.39,258.9902648925781,True,512,
40,104.29,266.2442932128906,True,512,
41,103.7,252.67742919921875,True,512,
42,103.68,250.16152954101562,True,512,
43,103.05,256.2209167480469,True,512,
44,103.43,254.7341766357422,True,512,
45,102.9,266.5549011230469,True,512,
46,102.19,252.04730224609375,False,512,92724.99652115627
47,84.43,194.3206024169922,False,512,92724.99652115627
48,65.61,205.67733764648438,False,512,92724.99652115627
49,59.25,169.62588500976562,False,512,92724.99652115627
50,53.71,159.1787109375,False,512,92724.99652115627
51,53.67,202.96807861328125,False,512,92724.99652115627
52,53.6,182.85348510742188,False,512,92724.99652115627
53,53.64,176.63426208496094,False,512,92724.99652115627
54,53.75,163.26510620117188,False,512,92724.99652115627
55,53.79,197.92991638183594,False,512,92724.99652115627
56,53.82,187.68472290039062,False,512,92724.99652115627
57,53.9,170.09420776367188,False,512,92724.99652115627
58,54.28,168.9176788330078,True,1024,92724.99652115627
59,54.18,199.3429412841797,True,1024,92724.99652115627
60,121.45,302.76287841796875,True,1024,92724.99652115627
61,130.86,277.7423095703125,True,1024,92724.99652115627
62,130.92,282.37432861328125,True,1024,92724.99652115627
63,130.52,290.6424255371094,True,1024,92724.99652115627
64,130.48,283.8791198730469,True,1024,92724.99652115627
65,130.71,292.4149475097656,True,1024,92724.99652115627
66,131.06,275.0674133300781,True,1024,92724.99652115627
67,131.12,282.9794921875,True,1024,92724.99652115627
68,132.46,274.187255859375,True,1024,92724.99652115627
69,131.87,289.2746276855469,True,1024,92724.99652115627
70,131.92,283.54937744140625,True,1024,92724.99652115627
