time,gpu,total,is_running,n_atoms,tps
0,13.15,249.7992401123047,False,,
1,12.85,147.5305633544922,False,,
2,13.2,130.70948791503906,False,,
3,13.25,135.3643798828125,False,,
4,13.25,140.87258911132812,False,,
5,12.86,138.57472229003906,False,,
6,12.87,129.30271911621094,False,,
7,13.06,139.1001739501953,False,,
8,13.3,157.62730407714844,False,,
9,12.89,138.35911560058594,False,,
10,12.87,136.940185546875,False,,
11,12.69,124.24925994873047,False,,
12,12.62,150.12908935546875,False,,
13,12.99,303.4563293457031,True,512,
14,12.83,289.4945373535156,True,512,
15,13.04,218.00746154785156,True,512,
16,12.95,218.9640350341797,True,512,
17,13.11,205.7362060546875,True,512,
18,12.92,216.47715759277344,True,512,
19,12.87,208.39691162109375,True,512,
20,13.01,213.46022033691406,True,512,
21,13.24,209.62936401367188,True,512,
22,13.37,214.9890899658203,True,512,
23,13.18,210.67262268066406,False,512,36035.203561209
24,13.15,139.2669219970703,False,512,36035.203561209
25,13.07,147.7386474609375,False,512,36035.203561209
26,13.29,128.45889282226562,False,512,36035.203561209
27,13.75,134.24249267578125,False,512,36035.203561209
28,13.7,151.52854919433594,False,512,36035.203561209
29,13.8,141.5792999267578,False,512,36035.203561209
30,13.76,128.07115173339844,False,512,36035.203561209
31,13.97,123.26409912109375,False,512,36035.203561209
32,14.26,129.8101348876953,False,512,36035.203561209
33,13.86,158.94952392578125,False,512,36035.203561209
34,13.83,139.219482421875,False,512,36035.203561209
35,13.69,129.9198760986328,True,1024,36035.203561209
36,13.78,198.0981903076172,True,1024,36035.203561209
37,13.48,215.19979858398438,True,1024,36035.203561209
38,13.55,215.784912109375,True,1024,36035.203561209
39,13.6,208.9024200439453,True,1024,36035.203561209
40,13.65,219.78355407714844,True,1024,36035.203561209
41,13.64,201.68258666992188,True,1024,36035.203561209
42,13.67,218.14743041992188,True,1024,36035.203561209
43,13.47,205.48448181152344,True,1024,36035.203561209
44,13.87,224.14630126953125,True,1024,36035.203561209
45,14.3,200.2832489013672,True,1024,36035.203561209
46,14.15,208.61093139648438,True,1024,36035.203561209
47,14.15,204.48326110839844,True,1024,36035.203561209
48,13.93,225.93768310546875,False,1024,22302.031647420143
49,13.87,149.51727294921875,False,1024,22302.031647420143
50,13.96,127.24147033691406,False,1024,22302.031647420143
51,14.06,133.29872131347656,False,1024,22302.031647420143
52,14.29,133.2523193359375,False,1024,22302.031647420143
53,14.35,144.95309448242188,False,1024,22302.031647420143
54,13.78,131.1138916015625,False,1024,22302.031647420143
55,13.71,143.01283264160156,False,1024,22302.031647420143
56,13.58,152.31898498535156,False,1024,22302.031647420143
57,13.64,146.35006713867188,False,1024,22302.031647420143
58,13.65,138.0420684814453,False,1024,22302.031647420143
59,13.64,125.09797668457031,False,1024,22302.031647420143
60,13.85,127.26170349121094,True,2048,22302.031647420143
61,13.99,221.65634155273438,True,2048,22302.031647420143
62,13.61,230.1964111328125,True,2048,22302.031647420143
63,13.57,221.73226928710938,True,2048,22302.031647420143
64,13.64,214.79116821289062,True,2048,22302.031647420143
65,13.53,214.050048828125,True,2048,22302.031647420143
66,13.68,222.85267639160156,True,2048,22302.031647420143
67,13.64,208.12808227539062,True,2048,22302.031647420143
68,13.67,212.6046905517578,True,2048,22302.031647420143
69,13.7,220.17678833007812,True,2048,22302.031647420143
70,13.64,217.98822021484375,True,2048,22302.031647420143
71,13.29,206.5465545654297,True,2048,22302.031647420143
72,13.27,171.05050659179688,False,2048,15386.069696330402
73,13.63,135.09075927734375,False,2048,15386.069696330402
74,13.73,123.27157592773438,False,2048,15386.069696330402
75,13.24,128.94053649902344,False,2048,15386.069696330402
76,12.9,145.9361572265625,False,2048,15386.069696330402
77,13.06,145.26116943359375,False,2048,15386.069696330402
78,13.04,151.4481658935547,False,2048,15386.069696330402
79,13.04,133.8168182373047,False,2048,15386.069696330402
80,12.78,130.73175048828125,False,2048,15386.069696330402
81,12.93,148.7871856689453,False,2048,15386.069696330402
82,12.98,135.6290283203125,False,2048,15386.069696330402
83,13.07,127.60298919677734,False,2048,15386.069696330402
84,12.94,161.848388671875,True,4096,15386.069696330402
85,12.99,202.45555114746094,True,4096,15386.069696330402
86,12.85,208.68531799316406,True,4096,15386.069696330402
87,12.69,226.4156951904297,True,4096,15386.069696330402
88,12.8,197.2774658203125,True,4096,15386.069696330402
89,12.68,212.1614227294922,True,4096,15386.069696330402
90,12.74,217.6198272705078,True,4096,15386.069696330402
91,12.73,205.12213134765625,True,4096,15386.069696330402
92,12.79,210.2713623046875,True,4096,15386.069696330402
93,12.9,204.81707763671875,True,4096,15386.069696330402
94,12.91,225.68600463867188,True,4096,15386.069696330402
95,12.98,197.28773498535156,True,4096,15386.069696330402
96,12.85,213.5587921142578,True,4096,15386.069696330402
97,12.6,204.78431701660156,True,4096,15386.069696330402
98,12.46,137.8174285888672,False,4096,9012.57737352491
99,12.44,145.80828857421875,False,4096,9012.57737352491
100,11.75,133.2350616455078,False,4096,9012.57737352491
101,11.74,157.21339416503906,False,4096,9012.57737352491
102,12.29,150.85360717773438,False,4096,9012.57737352491
103,12.54,128.89231872558594,False,4096,9012.57737352491
104,12.42,128.471923828125,False,4096,9012.57737352491
105,12.29,147.78053283691406,False,4096,9012.57737352491
106,12.52,135.2325897216797,False,4096,9012.57737352491
107,12.22,130.32470703125,False,4096,9012.57737352491
108,12.25,137.62277221679688,False,4096,9012.57737352491
109,12.43,138.36273193359375,False,4096,9012.57737352491
110,12.7,277.0145263671875,True,8192,9012.57737352491
111,13.02,212.6411895751953,True,8192,9012.57737352491
112,12.87,203.83934020996094,True,8192,9012.57737352491
113,12.84,224.95944213867188,True,8192,9012.57737352491
114,12.91,201.8590087890625,True,8192,9012.57737352491
115,12.98,215.24246215820312,True,8192,9012.57737352491
116,12.88,217.94424438476562,True,8192,9012.57737352491
117,12.97,205.13406372070312,True,8192,9012.57737352491
118,13.35,202.607177734375,True,8192,9012.57737352491
119,13.51,218.9230194091797,True,8192,9012.57737352491
120,13.53,209.43528747558594,True,8192,9012.57737352491
121,13.3,209.7202911376953,True,8192,9012.57737352491
122,12.94,213.27951049804688,True,8192,9012.57737352491
123,12.68,206.5074005126953,True,8192,9012.57737352491
124,12.46,213.7888641357422,True,8192,9012.57737352491
125,12.5,150.71507263183594,False,8192,4696.2642791230355
126,13.44,140.83767700195312,False,8192,4696.2642791230355
127,13.32,137.6886749267578,False,8192,4696.2642791230355
128,13.15,129.1271209716797,False,8192,4696.2642791230355
129,13.02,143.57864379882812,False,8192,4696.2642791230355
130,12.93,126.97676086425781,False,8192,4696.2642791230355
131,12.9,141.2039794921875,False,8192,4696.2642791230355
132,12.98,128.6103515625,False,8192,4696.2642791230355
133,12.92,141.9308624267578,False,8192,4696.2642791230355
134,12.93,132.05743408203125,False,8192,4696.2642791230355
135,12.63,140.24554443359375,False,8192,4696.2642791230355
136,12.29,132.0545654296875,False,8192,4696.2642791230355
137,12.45,147.30796813964844,True,16384,4696.2642791230355
138,12.63,212.94651794433594,True,16384,4696.2642791230355
139,13.22,215.08584594726562,True,16384,4696.2642791230355
140,13.0,205.97926330566406,True,16384,4696.2642791230355
141,12.65,219.78311157226562,True,16384,4696.2642791230355
142,12.53,207.99212646484375,True,16384,4696.2642791230355
143,12.52,215.3780975341797,True,16384,4696.2642791230355
144,12.95,225.04669189453125,True,16384,4696.2642791230355
145,13.05,206.08837890625,True,16384,4696.2642791230355
146,12.84,220.03781127929688,True,16384,4696.2642791230355
147,12.78,219.2101593017578,True,16384,4696.2642791230355
148,12.98,211.69418334960938,True,16384,4696.2642791230355
149,13.08,209.15232849121094,True,16384,4696.2642791230355
150,13.02,218.2518768310547,True,16384,4696.2642791230355
151,13.07,223.3019256591797,True,16384,4696.2642791230355
152,13.09,221.09048461914062,True,16384,4696.2642791230355
153,13.06,224.36378479003906,True,16384,4696.2642791230355
154,12.95,211.71705627441406,True,16384,4696.2642791230355
155,13.06,205.18260192871094,True,16384,4696.2642791230355
156,13.28,217.11526489257812,False,16384,2083.978092748971
157,13.14,148.82693481445312,False,16384,2083.978092748971
158,12.88,144.9368133544922,False,16384,2083.978092748971
159,12.93,129.60629272460938,False,16384,2083.978092748971
160,12.93,128.35658264160156,False,16384,2083.978092748971
161,12.66,145.0060272216797,False,16384,2083.978092748971
162,12.4,148.2557373046875,False,16384,2083.978092748971
163,12.64,148.70664978027344,False,16384,2083.978092748971
164,12.73,137.91331481933594,False,16384,2083.978092748971
165,12.7,149.5450897216797,False,16384,2083.978092748971
166,12.48,145.83006286621094,False,16384,2083.978092748971
167,12.25,134.9181365966797,False,16384,2083.978092748971
168,12.41,132.80877685546875,True,32768,2083.978092748971
169,12.54,215.3049774169922,True,32768,2083.978092748971
170,12.25,223.17477416992188,True,32768,2083.978092748971
171,12.36,196.64442443847656,True,32768,2083.978092748971
172,12.46,220.07080078125,True,32768,2083.978092748971
173,12.47,208.11422729492188,True,32768,2083.978092748971
174,12.47,215.1111297607422,True,32768,2083.978092748971
175,12.45,202.2998046875,True,32768,2083.978092748971
176,12.45,196.6543731689453,True,32768,2083.978092748971
177,12.43,204.75924682617188,True,32768,2083.978092748971
178,12.65,219.5828399658203,True,32768,2083.978092748971
179,12.51,209.7061004638672,True,32768,2083.978092748971
180,12.73,221.0394744873047,True,32768,2083.978092748971
181,12.65,212.8114013671875,True,32768,2083.978092748971
182,12.79,212.7470703125,True,32768,2083.978092748971
183,12.93,212.22216796875,True,32768,2083.978092748971
184,12.63,209.544921875,True,32768,2083.978092748971
185,12.15,157.45457458496094,False,32768,1004.32854192014
186,12.28,158.1300048828125,False,32768,1004.32854192014
187,12.41,129.93894958496094,False,32768,1004.32854192014
188,12.35,128.36367797851562,False,32768,1004.32854192014
189,12.67,128.35708618164062,False,32768,1004.32854192014
190,12.64,153.7814483642578,False,32768,1004.32854192014
191,12.58,117.34032440185547,False,32768,1004.32854192014
192,12.84,134.82138061523438,False,32768,1004.32854192014
193,12.94,126.67533111572266,False,32768,1004.32854192014
194,12.94,139.60804748535156,False,32768,1004.32854192014
195,12.85,156.56353759765625,False,32768,1004.32854192014
196,12.91,122.62435150146484,False,32768,1004.32854192014
197,13.0,109.62588500976562,True,65536,1004.32854192014
198,13.0,203.17489624023438,True,65536,1004.32854192014
199,12.9,220.06613159179688,True,65536,1004.32854192014
200,12.77,205.00338745117188,True,65536,1004.32854192014
201,12.76,210.58340454101562,True,65536,1004.32854192014
202,12.55,219.27392578125,True,65536,1004.32854192014
203,12.53,213.2913360595703,True,65536,1004.32854192014
204,12.45,203.73130798339844,True,65536,1004.32854192014
205,12.46,223.018310546875,True,65536,1004.32854192014
206,12.59,211.02908325195312,True,65536,1004.32854192014
207,12.69,213.05372619628906,True,65536,1004.32854192014
208,12.85,211.61001586914062,True,65536,1004.32854192014
209,13.09,215.56153869628906,True,65536,1004.32854192014
210,12.95,219.65750122070312,True,65536,1004.32854192014
211,12.99,222.35789489746094,True,65536,1004.32854192014
212,12.88,207.7906494140625,True,65536,1004.32854192014
213,12.81,128.07351684570312,False,65536,513.1368973129788
214,12.65,143.68128967285156,False,65536,513.1368973129788
215,12.32,156.36842346191406,False,65536,513.1368973129788
216,12.34,143.84115600585938,False,65536,513.1368973129788
217,12.41,146.3424835205078,False,65536,513.1368973129788
218,12.43,138.52574157714844,False,65536,513.1368973129788
219,12.41,149.1036834716797,False,65536,513.1368973129788
220,12.46,125.65328216552734,False,65536,513.1368973129788
221,12.4,131.94549560546875,False,65536,513.1368973129788
222,12.53,143.90992736816406,False,65536,513.1368973129788
223,12.73,145.06700134277344,False,65536,513.1368973129788
224,12.67,130.30738830566406,False,65536,513.1368973129788
225,12.87,207.13534545898438,True,131072,513.1368973129788
226,13.6,220.11500549316406,True,131072,513.1368973129788
227,13.68,212.57235717773438,True,131072,513.1368973129788
228,13.48,206.36001586914062,True,131072,513.1368973129788
229,13.52,211.1451416015625,True,131072,513.1368973129788
230,13.54,214.0684051513672,True,131072,513.1368973129788
231,13.4,215.5152587890625,True,131072,513.1368973129788
232,13.41,207.81895446777344,True,131072,513.1368973129788
233,13.41,224.76043701171875,True,131072,513.1368973129788
234,13.49,206.51922607421875,True,131072,513.1368973129788
235,13.66,213.8057403564453,True,131072,513.1368973129788
236,13.82,226.56329345703125,True,131072,513.1368973129788
237,13.69,215.29112243652344,True,131072,513.1368973129788
238,13.26,217.07595825195312,True,131072,513.1368973129788
