time,gpu,total,is_running,n_atoms,tps
0,13.29,295.0881652832031,False,,
1,13.04,148.61318969726562,False,,
2,12.84,144.9084014892578,False,,
3,12.95,135.20130920410156,False,,
4,12.95,142.40855407714844,False,,
5,13.59,142.9779815673828,False,,
6,13.68,124.93447875976562,False,,
7,13.5,129.30552673339844,False,,
8,13.44,147.70863342285156,False,,
9,13.36,146.00257873535156,False,,
10,13.13,125.13668060302734,False,,
11,13.1,130.52696228027344,False,,
12,13.26,148.98202514648438,False,,
13,13.53,227.20980834960938,True,512,
14,68.87,183.59164428710938,True,512,
15,70.41,220.0745391845703,True,512,
16,72.27,214.51101684570312,True,512,
17,72.76,221.4386444091797,True,512,
18,73.12,225.16796875,True,512,
19,73.08,228.216796875,True,512,
20,73.19,228.82901000976562,True,512,
21,73.57,228.07342529296875,True,512,
22,72.79,228.56253051757812,True,512,
23,73.13,228.08326721191406,False,512,20220.886515763126
24,67.52,179.8831024169922,False,512,20220.886515763126
25,63.45,151.0084228515625,False,512,20220.886515763126
26,40.29,121.50450134277344,False,512,20220.886515763126
27,17.81,138.13540649414062,False,512,20220.886515763126
28,13.78,142.89212036132812,False,512,20220.886515763126
29,13.66,137.69268798828125,False,512,20220.886515763126
30,13.85,141.29705810546875,False,512,20220.886515763126
31,13.95,135.60731506347656,False,512,20220.886515763126
32,13.83,144.1486358642578,False,512,20220.886515763126
33,13.96,144.75352478027344,False,512,20220.886515763126
34,13.81,141.4347686767578,False,512,20220.886515763126
35,13.84,135.1144561767578,True,1024,20220.886515763126
36,24.17,225.60667419433594,True,1024,20220.886515763126
37,74.75,240.41860961914062,True,1024,20220.886515763126
38,75.06,229.60092163085938,True,1024,20220.886515763126
39,74.72,227.28941345214844,True,1024,20220.886515763126
40,75.26,228.93763732910156,True,1024,20220.886515763126
41,75.11,222.95245361328125,True,1024,20220.886515763126
42,75.59,214.2570343017578,True,1024,20220.886515763126
43,75.93,229.7191162109375,True,1024,20220.886515763126
44,75.76,222.9628448486328,False,1024,17792.604791545607
45,71.51,191.43016052246094,False,1024,17792.604791545607
46,63.77,134.91549682617188,False,1024,17792.604791545607
47,41.08,128.8552703857422,False,1024,17792.604791545607
48,18.14,145.2225799560547,False,1024,17792.604791545607
49,13.28,145.8992156982422,False,1024,17792.604791545607
50,13.17,128.32261657714844,False,1024,17792.604791545607
51,12.93,126.07098388671875,False,1024,17792.604791545607
52,13.03,145.77145385742188,False,1024,17792.604791545607
53,13.33,149.89720153808594,False,1024,17792.604791545607
54,13.32,124.90440368652344,False,1024,17792.604791545607
55,13.04,131.1857452392578,False,1024,17792.604791545607
56,13.2,150.8576202392578,True,2048,17792.604791545607
57,13.02,195.78118896484375,True,2048,17792.604791545607
58,75.11,221.83705139160156,True,2048,17792.604791545607
59,77.5,216.4680938720703,True,2048,17792.604791545607
60,78.5,219.4494171142578,True,2048,17792.604791545607
61,78.41,239.9642333984375,True,2048,17792.604791545607
62,78.38,235.60226440429688,True,2048,17792.604791545607
63,78.38,228.7426300048828,True,2048,17792.604791545607
64,78.78,224.63140869140625,True,2048,17792.604791545607
65,78.06,227.68490600585938,True,2048,17792.604791545607
66,77.91,232.98817443847656,False,2048,14424.161677863456
67,75.04,178.6519775390625,False,2048,14424.161677863456
68,64.43,148.11181640625,False,2048,14424.161677863456
69,55.06,156.72247314453125,False,2048,14424.161677863456
70,18.86,136.12364196777344,False,2048,14424.161677863456
71,14.51,135.40664672851562,False,2048,14424.161677863456
72,13.59,133.9208221435547,False,2048,14424.161677863456
73,13.3,139.34310913085938,False,2048,14424.161677863456
74,13.23,128.78375244140625,False,2048,14424.161677863456
75,13.14,130.99761962890625,False,2048,14424.161677863456
76,13.2,132.3077392578125,False,2048,14424.161677863456
