time,gpu,total,is_running,n_atoms,tps
0,12.92,163.2774200439453,False,,
1,13.09,123.93898010253906,False,,
2,12.96,144.3365936279297,False,,
3,13.04,140.2661590576172,False,,
4,13.33,146.44764709472656,False,,
5,13.33,129.1480712890625,False,,
6,13.05,133.01109313964844,False,,
7,12.85,138.33216857910156,False,,
8,12.5,146.35232543945312,False,,
9,12.35,125.6835708618164,False,,
10,12.97,136.25514221191406,False,,
11,12.81,148.063720703125,False,,
12,12.94,143.88827514648438,False,,
13,13.12,235.9271697998047,True,512,
14,68.94,203.2936553955078,True,512,
15,70.59,216.90817260742188,True,512,
16,73.68,232.1548614501953,True,512,
17,73.44,229.51251220703125,True,512,
18,73.57,215.59226989746094,True,512,
19,72.91,243.3238525390625,True,512,
20,73.04,214.9310302734375,True,512,
21,73.92,216.5851287841797,True,512,
22,73.88,215.28749084472656,True,512,
23,74.27,229.2269744873047,True,512,
24,68.23,193.2659454345703,False,512,19162.98310668054
25,63.0,179.78292846679688,False,512,19162.98310668054
26,51.25,136.56431579589844,False,512,19162.98310668054
27,36.08,138.55389404296875,False,512,19162.98310668054
28,13.37,150.571044921875,False,512,19162.98310668054
29,12.74,131.58651733398438,False,512,19162.98310668054
30,12.99,137.682861328125,False,512,19162.98310668054
31,13.26,140.1544952392578,False,512,19162.98310668054
32,13.37,146.8330841064453,False,512,19162.98310668054
33,13.4,131.35687255859375,False,512,19162.98310668054
34,13.26,137.11061096191406,False,512,19162.98310668054
35,13.0,149.1875762939453,False,512,19162.98310668054
36,12.96,151.52650451660156,True,1024,19162.98310668054
37,42.53,238.78738403320312,True,1024,19162.98310668054
38,75.75,224.8140869140625,True,1024,19162.98310668054
39,75.84,206.6101531982422,True,1024,19162.98310668054
40,75.37,227.26962280273438,True,1024,19162.98310668054
41,75.84,219.47531127929688,True,1024,19162.98310668054
42,76.22,232.99472045898438,True,1024,19162.98310668054
43,76.3,216.07342529296875,True,1024,19162.98310668054
44,76.46,226.3303680419922,False,1024,17714.56272470784
45,70.83,196.39669799804688,False,1024,17714.56272470784
46,63.0,189.34619140625,False,1024,17714.56272470784
47,55.28,142.39474487304688,False,1024,17714.56272470784
48,18.03,145.76771545410156,False,1024,17714.56272470784
49,13.56,131.4969482421875,False,1024,17714.56272470784
50,13.1,130.16270446777344,False,1024,17714.56272470784
51,13.03,132.00498962402344,False,1024,17714.56272470784
52,13.04,142.85186767578125,False,1024,17714.56272470784
53,12.97,131.8027801513672,False,1024,17714.56272470784
54,12.64,131.93533325195312,False,1024,17714.56272470784
55,12.6,138.84999084472656,False,1024,17714.56272470784
56,12.65,142.9550018310547,True,2048,17714.56272470784
57,13.09,197.28773498535156,True,2048,17714.56272470784
58,74.92,239.14773559570312,True,2048,17714.56272470784
59,78.74,243.00828552246094,True,2048,17714.56272470784
60,77.84,233.470703125,True,2048,17714.56272470784
61,78.37,238.10183715820312,True,2048,17714.56272470784
62,78.73,228.5637969970703,True,2048,17714.56272470784
63,79.1,232.26205444335938,True,2048,17714.56272470784
64,79.32,232.14793395996094,True,2048,17714.56272470784
65,79.09,240.5135040283203,True,2048,17714.56272470784
66,79.15,237.1249237060547,False,2048,14522.192531363246
67,73.86,182.16189575195312,False,2048,14522.192531363246
68,63.34,194.7871856689453,False,2048,14522.192531363246
69,52.27,109.04496002197266,False,2048,14522.192531363246
70,17.71,125.8320083618164,False,2048,14522.192531363246
71,13.5,130.14950561523438,False,2048,14522.192531363246
72,13.51,154.11465454101562,False,2048,14522.192531363246
73,13.42,127.0769271850586,False,2048,14522.192531363246
74,13.78,125.91826629638672,False,2048,14522.192531363246
75,13.87,152.23777770996094,False,2048,14522.192531363246
76,13.9,150.881103515625,False,2048,14522.192531363246
77,13.6,128.52745056152344,False,2048,14522.192531363246
78,13.72,133.71681213378906,True,4096,14522.192531363246
79,17.84,191.08787536621094,True,4096,14522.192531363246
80,77.35,234.9873046875,True,4096,14522.192531363246
81,79.84,233.35299682617188,True,4096,14522.192531363246
82,80.08,224.96609497070312,True,4096,14522.192531363246
83,79.92,246.7078094482422,True,4096,14522.192531363246
84,79.75,240.0096435546875,True,4096,14522.192531363246
85,79.76,228.75973510742188,True,4096,14522.192531363246
86,79.13,241.06166076660156,True,4096,14522.192531363246
87,79.46,222.3833465576172,True,4096,14522.192531363246
88,79.75,227.1331787109375,True,4096,14522.192531363246
89,79.43,237.7672576904297,True,4096,14522.192531363246
90,79.05,180.05264282226562,False,4096,9988.438788375197
91,64.45,191.37831115722656,False,4096,9988.438788375197
92,47.47,152.34169006347656,False,4096,9988.438788375197
93,33.44,152.7500457763672,False,4096,9988.438788375197
94,16.96,128.6739044189453,False,4096,9988.438788375197
95,13.4,142.89524841308594,False,4096,9988.438788375197
96,13.37,140.47088623046875,False,4096,9988.438788375197
97,13.33,154.8871612548828,False,4096,9988.438788375197
98,13.08,135.12457275390625,False,4096,9988.438788375197
99,12.94,140.14927673339844,False,4096,9988.438788375197
100,13.08,136.4090118408203,False,4096,9988.438788375197
101,13.28,143.1630401611328,False,4096,9988.438788375197
102,13.41,144.6084442138672,True,8192,9988.438788375197
103,13.56,243.88800048828125,True,8192,9988.438788375197
104,77.53,227.38677978515625,True,8192,9988.438788375197
105,78.32,242.0224151611328,True,8192,9988.438788375197
106,79.82,247.588134765625,True,8192,9988.438788375197
107,79.96,242.4709014892578,True,8192,9988.438788375197
108,79.94,225.33514404296875,True,8192,9988.438788375197
109,80.06,233.9292449951172,True,8192,9988.438788375197
110,80.31,242.27139282226562,True,8192,9988.438788375197
111,79.92,235.25877380371094,True,8192,9988.438788375197
